store_name,si,gu,ro,zip_code,addr,tel,x_code,y_code
강동약국,울산,울산북구,동해안로,44233,울산광역시 북구 동해안로 1441 (정자동),052-298-3358,129.4479953,35.6145564
동부약국,경북,포항남구,일월로,37925,경상북도 포항시 남구 동해면 일월로 127 (동해면),054-284-3773,129.4469316,35.9879991
한독약국,경북,영덕군,축산항4길,36421,경상북도 영덕군 축산면 축산항4길 11 (축산면),054-732-4201,129.4466448,36.5076541
열린약국,경북,영덕군,영덕대게로,36421,경상북도 영덕군 축산면 영덕대게로 2073-1 (축산면),054-733-3475,129.4432235,36.5071379
우리들약국,경북,울진군,삼율2길,36370,경상북도 울진군 후포면 삼율2길 19 19,054-788-5095,129.4431316,36.6786941
후포백두산약국,경북,울진군,후포삼율로,36370,경상북도 울진군 후포면 후포삼율로 128 (후포면),054-788-5006,129.4430828,36.6813498
후포소망약국,경북,울진군,울진대게로,36370,경상북도 울진군 후포면 울진대게로 24-6 (후포면),054-787-7807,129.4429075,36.6771688
후포약국,경북,울진군,후포삼율로,36370,경상북도 울진군 후포면 후포삼율로 125 (후포면),054-787-2577,129.4425783,36.6811125
제일약국,경북,울진군,평해로,36366,경상북도 울진군 평해읍 평해로 68 (평해읍),054-787-5038,129.4417899,36.7266274
참조은약국,경북,울진군,평해로,36366,경상북도 울진군 평해읍 평해로 71 (평해읍),054-787-4000,129.4417644,36.7270384
파마시아마리약국,울산,울산북구,산하중앙2로,44264,울산광역시 북구 산하중앙2로 150 106호 (산하동),052-295-1110,129.4396549,35.6242236
미소약국,울산,울산북구,산하중앙2로,44264,"울산광역시 북구 산하중앙2로 290 104호 (산하동, 아이스퀘어)",052-244-7582,129.4389812,35.6358859
청춘약국,울산,울산동구,방어진순환도로,44030,울산광역시 동구 방어진순환도로 937 1층 (서부동),052-251-3788,129.4328069,35.5247978
동산약국,울산,울산동구,방어진순환도로,44030,울산광역시 동구 방어진순환도로 923 (서부동),052-251-0432,129.432673,35.5234852
보은약국,울산,울산동구,방어진순환도로,44030,울산광역시 동구 방어진순환도로 927-1 (서부동),052-232-6631,129.4325975,35.5239429
신대흥약국,울산,울산동구,안산로,44014,울산광역시 동구 안산로 50 (동부동),052-251-0552,129.4318372,35.5426829
위드팜대학약국,울산,울산동구,명덕6길,44031,울산광역시 동구 명덕6길 16 C동 (서부동),052-236-3258,129.4315979,35.5234144
새현대약국,울산,울산동구,방어진순환도로,44035,울산광역시 동구 방어진순환도로 859 (전하동),052-233-2212,129.4315167,35.5179675
현대백화점약국,울산,울산동구,방어진순환도로,44033,울산광역시 동구 방어진순환도로 899 (서부동),052-251-7194,129.4313861,35.5216211
동울산대학약국,울산,울산동구,바드래1길,44035,울산광역시 동구 바드래1길 3 (전하동),052-236-8789,129.4312069,35.5179028
친절한약국,울산,울산동구,바드래1길,44035,울산광역시 동구 바드래1길 7 (전하동),052-201-3470,129.4308963,35.5178034
선명약국,울산,울산동구,방어진순환도로,44034,울산광역시 동구 방어진순환도로 793 (전하동),052-251-5888,129.4305754,35.5125265
부민약국,울산,울산동구,방어진순환도로,44042,울산광역시 동구 방어진순환도로 787 (전하동),052-251-0614,129.4305416,35.5120744
우리약국,울산,울산동구,전하로,44034,울산광역시 동구 전하로 2 (전하동),052-234-1256,129.4305279,35.5123731
녹십자약국,울산,울산동구,녹수길,44034,울산광역시 동구 녹수길 9 (전하동),052-232-3158,129.4305061,35.5132183
스타온누리약국,울산,울산동구,방어진순환도로,44042,울산광역시 동구 방어진순환도로 785 (전하동),052-233-6925,129.4303565,35.5118103
튼튼 약국,울산,울산동구,방어진순환도로,44043,"울산광역시 동구 방어진순환도로 771 1층 101호 (전하동, 에스오션타워 )",052-201-6777,129.4301704,35.5105663
보람약국,울산,울산동구,방어진순환도로,44047,울산광역시 동구 방어진순환도로 745 (전하동),052-236-0835,129.4299355,35.5082458
월드약국,울산,울산동구,방어진순환도로,44047,울산광역시 동구 방어진순환도로 747 (전하동),052-232-3900,129.4298765,35.5084413
현약국,울산,울산동구,방어진순환도로,44048,울산광역시 동구 방어진순환도로 725 (전하동),052-252-4874,129.4296835,35.5065426
한가족약국,울산,울산동구,방어진순환도로,44051,울산광역시 동구 방어진순환도로 711-1 (전하동),052-252-1781,129.4294639,35.5052859
365열린약국,울산,울산동구,방어진순환도로,44056,"울산광역시 동구 방어진순환도로 652 C동 116~117호 (일산동, 테라스파크)",052-209-0333,129.4291802,35.4999963
새정문약국,울산,울산동구,바드래1길,44035,"울산광역시 동구 바드래1길 35 (전하동, 필하모니)",236-3759,129.4291009,35.5171127
청솔약국,울산,울산동구,동해안로,44006,울산광역시 동구 동해안로 49 (동부동),052-252-8778,129.4285733,35.5423495
새살약국,경남,창원의창구,용동로83번안길,51139,경상남도 창원시 의창구 용동로83번안길 3 화사랑메디컬 1층 104호 (사림동),055-602-2316,129.4284877,35.5171151
사랑의 약국,울산,울산동구,방어진순환도로,44067,울산광역시 동구 방어진순환도로 651 (일산동),052-236-1214,129.4282112,35.5000159
둘리약국,울산,울산동구,방어진순환도로,44067,울산광역시 동구 방어진순환도로 645 (일산동),,129.4281043,35.4994135
신현대온누리약국,울산,울산동구,동해안로,44006,울산광역시 동구 동해안로 43 (동부동),052-251-1181,129.427963,35.5423863
해오름약국,울산,울산동구,방어진순환도로,44068,"울산광역시 동구 방어진순환도로 633 (일산동, 세인트에스타워)",201-5975,129.4277124,35.4983674
팜플러스약국,울산,울산동구,방어진순환도로,44068,"울산광역시 동구 방어진순환도로 637 지하1층 (일산동, 홈플러스)",052-234-6664,129.4274531,35.4989693
태화당약국,울산,울산동구,진성11길,44051,울산광역시 동구 진성11길 42 (전하동),052-232-0023,129.4274,35.5065127
남목공룡약국,울산,울산동구,남목17길,44006,울산광역시 동구 남목17길 4 1층 (동부동),052-252-6119,129.4273788,35.5423758
한마음온누리약국,울산,울산동구,봉수로,44036,"울산광역시 동구 봉수로 370 104호 (전하동, 전하동현대홈타운)",052-234-7582,129.4271212,35.5177831
대성약국,울산,울산동구,방어진순환도로,44012,울산광역시 동구 방어진순환도로 1118-1 (서부동),052-251-1501,129.4265692,35.5393598
선린약국,울산,울산동구,동해안로,44007,울산광역시 동구 동해안로 28 (동부동),052-252-3889,129.4265497,35.5416448
행복약국,울산,울산동구,방어진순환도로,44077,울산광역시 동구 방어진순환도로 577 (화정동),052-209-1005,129.4265177,35.4935044
태광약국,울산,울산동구,방어진순환도로,44012,울산광역시 동구 방어진순환도로 1120 (서부동),052-251-1412,129.4264932,35.5393909
만세대약국,울산,울산동구,진성14길,44043,울산광역시 동구 진성14길 128 (전하동),052-234-5353,129.4263185,35.511484
비타민약국,울산,울산동구,진성14길,44043,울산광역시 동구 진성14길 118 (전하동),070-8829-8245,129.4262017,35.5109063
새모범약국,울산,울산동구,내진1길,44110,울산광역시 동구 내진1길 2 (방어동),052-232-6642,129.426094,35.4865676
우리집약국,울산,울산동구,진성14길,44044,울산광역시 동구 진성14길 96 (전하동),052-201-6888,129.4260532,35.5098139
태화약국,울산,울산동구,진성14길,44044,울산광역시 동구 진성14길 90 (전하동),052-937-8275,129.4259971,35.5092967
해맑은약국,울산,울산동구,동진로,44110,울산광역시 동구 동진로 6 (방어동),052-236-1454,129.4259346,35.4866706
남산약국,울산,울산동구,진성4길,44047,울산광역시 동구 진성4길 57 (전하동),052-251-4421,129.4258994,35.5089733
행운약국,울산,울산동구,방어진순환도로,44016,울산광역시 동구 방어진순환도로 1125 (서부동),052-252-3375,129.4255369,35.5392347
광성약국,울산,울산동구,방어진순환도로,44016,울산광역시 동구 방어진순환도로 1131 (서부동),052-252-3488,129.4251419,35.5393145
힐링약국,울산,울산동구,방어진순환도로,44010,울산광역시 동구 방어진순환도로 1138 (서부동),052-234-8989,129.4241745,35.5399623
제일약국,울산,울산동구,꽃바위로,44096,울산광역시 동구 꽃바위로 311 1층 (방어동),052-232-8972,129.4225152,35.4854075
새미래약국,울산,울산동구,방어진순환도로,44010,"울산광역시 동구 방어진순환도로 1160 (서부동, 새미래약국)",052-236-1356,129.4219726,35.539734
새싹약국,울산,울산동구,월봉8길,44083,울산광역시 동구 월봉8길 54 (화정동),052-252-6376,129.4219566,35.4927473
명인약국,울산,울산동구,대학길,44070,울산광역시 동구 대학길 75 (화정동),052-903-7913,129.4219105,35.4988153
신세계온누리약국,울산,울산동구,대학길,44074,울산광역시 동구 대학길 76 (화정동),052-235-1775,129.421886,35.4984452
밝은약국,울산,울산동구,대학길,44070,울산광역시 동구 대학길 71 (화정동),052-233-8590,129.42166,35.4988687
우리들약국,울산,울산동구,대학길,44074,울산광역시 동구 대학길 72 (화정동),052-252-7569,129.4216397,35.4984334
온누리성심약국,경북,울진군,죽변북로,36315,경상북도 울진군 죽변면 죽변북로 14 (죽변면),054-782-4930,129.4212883,37.0605758
엄마손약국,울산,울산동구,대학길,44070,울산광역시 동구 대학길 59 (화정동),052-234-5593,129.4211842,35.4989322
강약국,경북,울진군,죽변북로,36316,경상북도 울진군 죽변면 죽변북로 15-1 (죽변면),054-783-5323,129.4209298,37.0607994
죽변약국,경북,울진군,죽변북로,36316,경상북도 울진군 죽변면 죽변북로 13 (),054-783-6563,129.4208067,37.0605084
은성약국,울산,울산동구,양지5길,44074,울산광역시 동구 양지5길 72 1층 (화정동),052-251-2016,129.4208016,35.4986412
태평양약국,울산,울산동구,월봉6길,44083,"울산광역시 동구 월봉6길 39 (화정동, 화정상가)",252-2324,129.4204423,35.4910531
메디칼약국,울산,울산동구,방어진순환도로,44096,울산광역시 동구 방어진순환도로 482 (방어동),052-201-7820,129.420191,35.487171
경남약국,울산,울산동구,월봉로,44079,울산광역시 동구 월봉로 14 (화정동),052-233-9930,129.4201815,35.4952296
현대약국,울산,울산동구,대학길,44074,울산광역시 동구 대학길 40 (화정동),052-235-8893,129.4201099,35.4984841
건강한약국,울산,울산동구,대학길,44070,울산광역시 동구 대학길 33 (화정동),052-235-4298,129.4196129,35.4987228
초롱약국,울산,울산동구,문재7길,44098,울산광역시 동구 문재7길 5 (방어동),052-234-6786,129.4176801,35.4834349
순정약국,울산,울산동구,문재6길,44098,울산광역시 동구 문재6길 4 (방어동),,129.4169048,35.482905
메디팜 대흥약국,경북,포항남구,정몽주로,37907,경상북도 포항시 남구 오천읍 정몽주로 560 (),054-292-1107,129.4163269,35.9679957
대구약국,경북,포항남구,장기로,37912,경상북도 포항시 남구 오천읍 장기로 1691 (),054-291-7661,129.4162115,35.9659541
현대약국,경북,포항남구,세계길,37912,경상북도 포항시 남구 오천읍 세계길 46 (),054-292-2414,129.4160254,35.9662011
행복약국,경북,포항남구,세계길,37912,경상북도 포항시 남구 오천읍 세계길 30 (오천읍),054-292-8074,129.4157341,35.9647644
신세계옵티마약국,경북,포항남구,정몽주로,37912,경상북도 포항시 남구 오천읍 정몽주로 538 (),054-292-0545,129.4154575,35.966198
용덕약국,경북,포항남구,정몽주로616번길,37907,경상북도 포항시 남구 오천읍 정몽주로616번길 2 (),054-292-2438,129.4152157,35.9728925
편한약국,경북,포항남구,정몽주로,37906,경상북도 포항시 남구 오천읍 정몽주로 621-0 621,054-291-5507,129.4146234,35.9734305
오천온누리약국,경북,포항남구,정몽주로,37906,경상북도 포항시 남구 오천읍 정몽주로 643 (),054-292-6886,129.4138628,35.9752785
다나약국,경북,포항남구,정몽주로,37906,경상북도 포항시 남구 오천읍 정몽주로 647 (오천읍),054-292-8440,129.4136843,35.9756092
서문제일약국,경북,포항남구,정몽주로,37906,경상북도 포항시 남구 오천읍 정몽주로 651 (),054-291-7416,129.4135124,35.975981
꽃바위약국,울산,울산동구,문현로,44093,울산광역시 동구 문현로 40-1 (방어동),052-201-4455,129.4131991,35.4848866
아름다운약국,경북,포항남구,정몽주로,37904,경상북도 포항시 남구 오천읍 정몽주로 687 (오천읍),054-293-3231,129.4123078,35.9789331
온누리자모약국,경북,포항남구,청림서길,37920,경상북도 포항시 남구 청림서길 11-1 (청림동),054-292-4521,129.4122389,35.9954394
보건약국,경북,포항남구,청림서길,37920,경상북도 포항시 남구 청림서길 13 (청림동),054-292-4866,129.4121843,35.9954947
비타민약국,경북,포항남구,충무로,37904,경상북도 포항시 남구 오천읍 충무로 5 (),054-293-8889,129.4104604,35.9764351
더조은약국,경북,포항남구,냉천로,37885,경상북도 포항시 남구 오천읍 냉천로 306 1층,054-614-8800,129.4093171,35.9674436
중앙온누리약국,경북,울진군,현내항길,36324,경상북도 울진군 울진읍 현내항길 87 (울진읍),054-782-2010,129.4092422,36.9919309
경북약국,경북,영덕군,예주시장길,36412,경상북도 영덕군 영해면 예주시장길 46 (),054-732-2816,129.4088765,36.5395815
바다약국,경북,영덕군,예주시장7길,36411,경상북도 영덕군 영해면 예주시장7길 3 (영해면),054-734-4067,129.4087671,36.5398507
영해약국,경북,영덕군,예주시장길,36411,경상북도 영덕군 영해면 예주시장길 9 (영해면),054-732-0204,129.4052212,36.5387506
예주약국,경북,영덕군,예주시장길,36412,경상북도 영덕군 영해면 예주시장길 10 (),054-733-7779,129.4052001,36.5384533
대승약국,경북,영덕군,예주시장길,36412,경상북도 영덕군 영해면 예주시장길 8 8,054-732-0367,129.4049976,36.5384201
미소약국,경북,포항남구,원동로,37886,경상북도 포항시 남구 오천읍 원동로 4 107호 (엠파이어상가),054-293-2244,129.4032875,35.9632263
현대약국,경북,영덕군,영덕로,36414,경상북도 영덕군 영해면 영덕로 1612-1 (),054-734-5498,129.4031928,36.523391
라인약국,경북,포항남구,원동로,37884,경상북도 포항시 남구 오천읍 원동로 54 (),054-292-5623,129.4030773,35.9678807
문덕광제약국,경북,포항남구,원동로,37883,경상북도 포항시 남구 오천읍 원동로 3 108호 (메트로프라자),054-291-2771,129.4027108,35.9634419
충효약국,경북,울진군,연호로,36325,경상북도 울진군 울진읍 연호로 12 (울진읍),054-782-8101,129.4027105,36.9934119
강변약국,경북,포항남구,원동로,37883,경상북도 포항시 남구 오천읍 원동로 47 (),054-291-0958,129.4025267,35.9673013
사랑온누리약국,경북,포항남구,원동로,37883,경상북도 포항시 남구 오천읍 원동로 51 (오천읍),054-291-0036,129.4024885,35.967549
늘기쁜약국,경북,포항남구,원동로,37883,경상북도 포항시 남구 오천읍 원동로 57 (),054-293-7117,129.4024364,35.9681139
아이원약국,경북,포항북구,양덕로,37591,"경상북도 포항시 북구 양덕로 68 208호 (양덕동, 풍림아이원상가)",054-248-8877,129.4023588,36.0848845
원동약국,경북,포항남구,원동로,37883,경상북도 포항시 남구 오천읍 원동로 75 103호,054-249-0400,129.4023537,35.9697236
동산약국,경북,울진군,읍내8길,36324,경상북도 울진군 울진읍 읍내8길 14 (울진읍),054-783-2273,129.4021241,36.9946582
세종약국,경북,포항북구,양덕로,37589,경상북도 포항시 북구 양덕로 47 1층 (양덕동),054-254-2929,129.4017208,36.0828676
우아 온누리약국,경북,포항남구,상공로,37816,경상북도 포항시 남구 상공로 126 (대도동),054-727-3004,129.4014865,35.970158
밝은약국,경북,포항남구,남원로,37883,경상북도 포항시 남구 오천읍 남원로 75 (),054-292-1080,129.4014865,35.970158
삼화당약국,경북,울진군,울진중앙로,36325,경상북도 울진군 울진읍 울진중앙로 118 (울진읍),054-783-2355,129.4013663,36.9920854
한마음약국,경북,울진군,울진중앙로,36324,경상북도 울진군 울진읍 울진중앙로 136 울진농협,054-781-0778,129.401325,36.993749
경북약국,경북,울진군,울진중앙로,36323,경상북도 울진군 울진읍 울진중앙로 123-1 경북약국,054-783-8280,129.4010326,36.9925273
부영약국,경북,포항남구,남원로,37881,경상북도 포항시 남구 오천읍 남원로 86-28 부영약국,054-292-7004,129.4004541,35.9715954
정성약국,경북,포항북구,장량로,37593,경상북도 포항시 북구 장량로 160 (양덕동),054-232-5800,129.3979461,36.0815093
포항마더스약국,경북,포항남구,냉천로,37878,"경상북도 포항시 남구 냉천로 10 (인덕동, 이마트)",054-274-7923,129.3976299,35.9924753
양덕건강한약국,경북,포항북구,천마로,37589,경상북도 포항시 북구 천마로 74 (양덕동),054-255-1478,129.3971357,36.0831931
참기쁨약국,경북,포항북구,천마로,37588,경상북도 포항시 북구 천마로 55 (양덕동),054-231-7766,129.3965725,36.0814987
인덕약국,경북,포항남구,인덕로,37878,경상북도 포항시 남구 인덕로 71 (인덕동),054-222-8780,129.3961968,35.9917712
유명당약국,경북,포항북구,삼호로,37604,"경상북도 포항시 북구 삼호로 391 208호 (환호동, 환호해맞이그린빌주상가)",054-252-8209,129.3914882,36.0698919
유정약국,울산,울산북구,염포로,44260,울산광역시 북구 염포로 673 (염포동),052-287-7587,129.3914099,35.5325703
늘푸른온누리약국,경북,포항북구,새천년대로,37586,경상북도 포항시 북구 새천년대로 1317 (장성동),054-251-0800,129.3910397,36.0760283
대영약국,울산,울산북구,염포로,44260,울산광역시 북구 염포로 631 (염포동),052-289-4272,129.3891799,35.5358131
드림약국,경북,포항북구,장량로,37587,경상북도 포항시 북구 장량로 79 (양덕동),054-231-0947,129.3890986,36.082456
다나온누리약국,경북,포항북구,신덕로,37572,경상북도 포항시 북구 신덕로 248 (양덕동),054-244-2080,129.3890339,36.0877503
현대문화약국,울산,울산북구,염포로,44260,"울산광역시 북구 염포로 601 (양정동, 현대자동차문화회관)",052-287-2840,129.388252,35.5382049
천사온누리약국,경북,포항북구,장량중앙로,37572,경상북도 포항시 북구 장량중앙로 52 양덕프라자 103층 (양덕동),054-254-9004,129.3874969,36.0899295
양덕미래약국,경북,포항북구,법원로,37572,경상북도 포항시 북구 법원로 165 105호 (양덕동),054-256-2454,129.3874519,36.0896493
튼튼약국,경북,포항북구,법원로,37572,경상북도 포항시 북구 법원로 157 (양덕동),054-242-6060,129.3872095,36.0890075
한일약국,울산,울산북구,염포로,44260,울산광역시 북구 염포로 579 (양정동),052-287-1939,129.3865644,35.5399576
조명약국,울산,울산북구,염포로,44260,울산광역시 북구 염포로 539 (양정동),052-287-0094,129.3851427,35.5434507
양정약국,울산,울산북구,염포로,44260,울산광역시 북구 염포로 529 104호 (양정동),052-246-2552,129.3850905,35.5442675
스타약국,경북,포항북구,장량로31번길,37579,경상북도 포항시 북구 장량로31번길 54 102호 (장성동),054-248-2030,129.3848146,36.0873658
태양약국,울산,울산북구,염포로,44260,울산광역시 북구 염포로 517 (양정동),052-288-8807,129.3846613,35.5452957
서울약국,경북,영덕군,영덕대게로,36454,경상북도 영덕군 강구면 영덕대게로 49-1 (강구면),054-732-5205,129.3842532,36.3597051
참조은약국,경북,영덕군,강구대게3길,36455,경상북도 영덕군 강구면 강구대게3길 11-1 (),054-733-9601,129.3838592,36.3594652
영천온누리약국,경북,포항북구,장량로,37583,경상북도 포항시 북구 장량로 32 (장성동),070-4233-7000,129.383666,36.0824352
건강한약국,경북,포항북구,법원로11번길,37585,경상북도 포항시 북구 법원로11번길 30 (장성동),054-254-9957,129.3828559,36.0761577
명신온누리약국,경북,영덕군,영덕대게로,36455,경상북도 영덕군 강구면 영덕대게로 34 34,054-733-2777,129.3825551,36.3602027
늘봄약국,경북,포항북구,삼호로,37611,경상북도 포항시 북구 삼호로 287 존메디칼병원 (두호동),054-246-8575,129.3817421,36.0634071
펭귄 온누리약국,경북,포항북구,새천년대로,37605,경상북도 포항시 북구 새천년대로 1222 (장성동),054-615-2902,129.3814866,36.0728308
푸른약국,경북,포항북구,용두산길,37608,"경상북도 포항시 북구 용두산길 78 상가동 (두호동, 천호타운)",054-246-9990,129.3811065,36.0705963
메디팜조아약국,경북,포항북구,용두산길,791850,경상북도 포항시 북구 용두산길 35 (장성동),054-232-0080,129.3810515,36.066932
국민약국,경북,포항북구,용두산길,791850,경상북도 포항시 북구 용두산길 43 (장성동),054-232-3001,129.3810471,36.0676658
참좋은약국,경북,포항북구,용두산길,37609,"경상북도 포항시 북구 용두산길 39 (장성동, 그린종합상가)",054-249-0044,129.3809605,36.0672943
고은약국,경북,영덕군,동해대로,36458,경상북도 영덕군 강구면 동해대로 4467 (강구면),054-732-0898,129.3804784,36.3560707
굿모닝온누리약국,경북,포항북구,삼흥로,37611,경상북도 포항시 북구 삼흥로 18 (두호동),054-232-7572,129.3803456,36.0639211
장수약국,경북,영덕군,동해대로,36458,경상북도 영덕군 강구면 동해대로 4479 (강구면),054-733-7551,129.3802724,36.3571422
봄온누리약국,경북,포항북구,침촌마을길,37578,"경상북도 포항시 북구 침촌마을길 12-9 (장성동, 바로정형외과내과의원)",054-283-1981,129.3796424,36.079001
장생포약국,울산,울산남구,장생포고래로,44780,울산광역시 남구 장생포고래로 217 (장생포동),052-267-1189,129.377916,35.502953
우리온누리약국,경북,포항북구,삼호로,37714,경상북도 포항시 북구 삼호로 197 (항구동),054-246-4798,129.3767416,36.0562016
드림약국,경북,포항남구,축항로,37802,경상북도 포항시 남구 축항로 74 (송도동),054-282-2334,129.3764672,36.0295526
영일대약국,경북,포항북구,삼호로,37708,경상북도 포항시 북구 삼호로 176 (항구동),054-246-1008,129.3764061,36.0541112
보금당약국,경북,포항남구,운하로36번길,37803,경상북도 포항시 남구 운하로36번길 7 (송도동),054-283-3727,129.3763118,36.0282045
엔젤약국,경북,포항북구,두호로,37709,경상북도 포항시 북구 두호로 21 (두호동),054-249-1020,129.3760875,36.0596984
오현당약국,경북,포항북구,두호로,37626,경상북도 포항시 북구 두호로 24 (두호동),054-251-8272,129.3760078,36.0600686
온누리신그린약국,경북,포항남구,송림로,37798,경상북도 포항시 남구 송림로 36-1 (송도동),054-244-2009,129.3758243,36.0329969
임초약국,경북,포항남구,송림로,37800,경상북도 포항시 남구 송림로 29 (송도동),054-282-2511,129.3755149,36.0324198
늘사랑약국,경북,포항북구,두호로,37710,경상북도 포항시 북구 두호로 25 (두호동),054-232-3389,129.3754549,36.0597962
북면소망약국,경북,울진군,장터길,36305,경상북도 울진군 북면 장터길 102 (북면),054-781-0025,129.3750827,37.1036651
부흥약국,경북,포항북구,학전로,37714,경상북도 포항시 북구 학전로 24 (항구동),054-247-4915,129.3745506,36.0547742
아이파크약국,경북,포항북구,새천년대로1076번길,37619,경상북도 포항시 북구 새천년대로1076번길 21 (두호동),054-231-2389,129.3740282,36.0644914
메디팜조약국,경북,포항남구,해동로,37795,경상북도 포항시 남구 해동로 57 (해도동),054-281-1283,129.3728029,36.0245991
제일온누리약국,경북,포항북구,새천년대로,37617,경상북도 포항시 북구 새천년대로 1126 (장성동),054-256-4119,129.3727114,36.0690665
보건약국,대구,대구달성군,달구벌대로55길,42903,대구광역시 달성군 하빈면 달구벌대로55길 98 (),053-581-3889,129.3726434,36.4137965
윤약국,경북,포항북구,두호로,37623,경상북도 포항시 북구 두호로 56 1층 (두호동),054-253-8205,129.3724327,36.060956
안동약국,경북,포항남구,송도로,37800,경상북도 포항시 남구 송도로 10 (송도동),054-282-3035,129.3720376,36.0337392
성심약국,경북,포항남구,해동로,37790,경상북도 포항시 남구 해동로 93 (해도동),054-272-7696,129.3720118,36.0277238
고려약국,경북,울진군,울진북로,36305,경상북도 울진군 북면 울진북로 2067 (북면),054-783-6977,129.371875,37.1012487
항도약국,경북,포항북구,삼호로,37717,경상북도 포항시 북구 삼호로 123-1 (학산동),054-247-5345,129.3718167,36.0515066
대성약국,경북,포항남구,중앙로122번길,37795,경상북도 포항시 남구 중앙로122번길 30 (해도동),054-275-7603,129.37154,36.0243564
창포약국,경북,포항북구,학전로111번길,37624,경상북도 포항시 북구 학전로111번길 43 (두호동),054-232-2232,129.3715381,36.0631177
새동해약국,경북,포항남구,중앙로122번길,37791,경상북도 포항시 남구 중앙로122번길 29 (해도동),054-282-1003,129.3715128,36.0245811
햇살약국,경북,포항북구,해동로,37722,경상북도 포항시 북구 해동로 303 채움병원 1층 (동빈1가),054-256-1423,129.3712176,36.0462604
우리약국,경북,포항북구,새천년대로1075번길,37631,경상북도 포항시 북구 새천년대로1075번길 1 1층 (창포동),054-255-8275,129.3711265,36.0645798
오렌지약국,경북,포항북구,새천년대로,37631,경상북도 포항시 북구 새천년대로 1053 (창포동),054-255-2229,129.3707345,36.0628475
열린약국,경북,포항북구,새천년대로,37631,경상북도 포항시 북구 새천년대로 1051 1층 (창포동),054-244-6655,129.3706398,36.0626878
순화당약국,경북,포항북구,새천년대로,37631,"경상북도 포항시 북구 새천년대로 1041 121호 (창포동, 쌍용상가)",054-251-2590,129.3704688,36.061753
주약국,경북,영덕군,중앙길,36432,경상북도 영덕군 영덕읍 중앙길 90 (),054-733-1103,129.3702092,36.4109442
영덕종합약국,경북,영덕군,중앙길,36432,경상북도 영덕군 영덕읍 중앙길 96-16 (),054-734-0048,129.370025,36.4116781
수정약국,경북,영덕군,중앙길,36436,경상북도 영덕군 영덕읍 중앙길 91 (),054-734-9436,129.3699448,36.410626
새럭키약국,경북,포항남구,중앙로,37809,경상북도 포항시 남구 중앙로 62 (해도동),054-281-9478,129.369935,36.0188115
제일약국,경북,영덕군,덕곡2길,36432,경상북도 영덕군 영덕읍 덕곡2길 8 1층,054-732-8890,129.3699116,36.4124465
한솔약국,경북,포항남구,중앙로,37815,경상북도 포항시 남구 중앙로 69 (해도동),054-277-6932,129.3692506,36.0193061
건강백세약국,경북,포항북구,창흥로,37633,경상북도 포항시 북구 창흥로 13 (창포동),054-247-1201,129.3689861,36.0620197
인성약국,경북,포항남구,중앙로,37808,경상북도 포항시 남구 중앙로 102 (해도동),054-282-5006,129.368981,36.0223472
참약국,경북,영덕군,중앙길,36432,경상북도 영덕군 영덕읍 중앙길 106 (),054-733-0809,129.3685804,36.4112338
성모약국,경북,포항남구,중앙로,37789,경상북도 포항시 남구 중앙로 124 (해도동),054-282-2255,129.3685059,36.024238
큰사랑약국,경북,영덕군,중앙길,36436,경상북도 영덕군 영덕읍 중앙길 107 (영덕읍),054-733-0101,129.3683998,36.4110554
